vidid, AestheticScore
cou-wVNxYmY, 4.989214457338676
lEaPQ7YrWQg, 5.683675067848526
S7MNX_UD7vY, 4.9313496358226985
PHfJBoGgrns, 5.365657191257924
dfEWw95coak, 5.085458451299928
-BBcc3MaB5E, 4.581630103290081
ikD79_dDFQA, 4.514225522056222
7UkkrNoZUwU, 4.92163065605564
EtgXo5cxR-Y, 5.026288763518096
vPJwn_Kdf38, 4.979290927760303
Eubwtk3HzKE, 4.401735263527371
qUn9uhd1vJA, 5.122768500586972
bEDmGQn8n0o, 4.747237229719758
yad6tOfkejU, 4.894387438893318
z68vta3N5kg, 4.903723884024657
aGrFimftaRY, 5.143135506659746
AIuMe--nMrI, 5.230878986418247
Ld5GDwycs_s, 5.327504400163889
gKXe7kLXb0c, 5.233024446293712
TBInd2v-inE, 4.8529956275597215
B__r2uEm_Bg, 5.063937983941287
CgS76jcXXuU, 4.921112489071675
JLMf5Ckz1fg, 4.950243951287121
c6C7FYS2M9E, 5.464820733293891
O1P6K_PaS0A, 4.747328685596585
BxUKvMyu2oI, 4.661457633599639
w0XVQ_VmlTg, 4.63495525973849
8ZT6VOljHU4, 4.988355962559581
p-9MifDjR3I, 4.902849106583744
AwJItZbCAv4, 4.897341812029481
VpnxLg97BAE, 5.356938052515034
5To_PB3xBdY, 5.298084940761328
G9Mdynx8lxg, 4.37374297529459
hGfXg_B_-co, 4.435932639986277
GYoI8mlrvjE, 4.994295215699822
DFrRfdzD_5Q, 4.625499024288729
udb_Emx3J2U, 5.323531979927793
7BZ-AhjQ6fw, 4.932033567572944
0sepPNmg-SM, 5.442398365354165
qMWr7_2F9wQ, 5.099287622608244
Gb0f_jDZQgg, 4.738295148592442
yd_9Aj10EgY, 4.196217082324438
JuGiZdxR2pU, 4.4966908898204565
n3FVvwvMNbs, 4.6471922704949975
vNNJ9DgWREY, 4.780517992097884
w2iTCm0xpDc, 5.121995491557755
ZXYPyxxnQSI, 5.337096610106528
g12reU1pCfM, 5.13125105178915
mZF9Xg8ets0, 5.13206435542088
6mdWUueL0kY, 5.001569679006934
59qe9AE93iM, 4.441322729806416
NkM_4MmJJM4, 4.679601170122623
JZ_Tp9qjviw, 5.356061995844357
EIGjT5NYjjM, 5.164563396014273
-wv1Pzd2aBI, 5.020448767812923
GVRDGQhoEYQ, 5.180694186594337
4teSMxqPOBI, 4.663113198708743
krXRajl3VPs, 5.133394854841754
ZSNj9KRO1iE, 5.572705630911514
CDIDZhgazpc, 4.96044643688947
gV9PXRVXJak, 5.176299311220646
tVdYy_qvpUE, 4.772673663450405
SB9s3xwJRAE, 4.475956708192825
lvTqbM5Dq4Q, 5.0025293454527855
LgncvEmFqAo, 4.987390285357833
2CkyYg__FTc, 4.6622864520177245
90QCw2xh-IU, 4.555870715121273
C1PMVJku_VA, 5.150857387576252
aljIWcaiL2g, 5.463233641348779
