,0
1449,17274
1450,28412
1451,16584
1452,27216
1453,12151
1454,13472
1455,22969
1456,18236
1457,17665
1458,7783
1459,13872
1460,20607
1461,37529
1462,6190
1463,26214
1464,11738
1465,13414
1466,12099
1467,13899
1468,10542
1469,9800
1470,12193
1471,9285
1472,17924
1473,7797
1474,13949
1475,23874
1476,10002
1477,8286
1478,38713
1479,8437
1480,20580
1481,8778
1482,12775
1483,21776
1484,10244
1485,17742
1486,12896
1487,8778
1488,16796
1489,8266
1490,10829
1491,17206
1492,9567
1493,11509
1494,18926
1495,14806
1496,11789
1497,7132
1498,10595
1499,13607
1500,14510
1501,15250
1502,9625
1503,13228
1504,8735
1505,10421
1506,8837
1507,6854
1508,29408
1509,9109
1510,23523
1511,17370
1512,24580
1513,9354
1514,8325
1515,16496
1516,20625
1517,32537
1518,18640
1519,7350
1520,17381
1521,11758
1522,14994
1523,17744
1524,8252
1525,12324
1526,8746
1527,9200
1528,16832
1529,9127
1530,13458
1531,9954
1532,10576
1533,14848
1534,14095
1535,15123
1536,10136
1537,12249
1538,12967
1539,16380
1540,9025
1541,37062
1542,17325
1543,47923
1544,36637
1545,10980
1546,12418
1547,28065
1548,35498
1549,6836
1550,35932
1551,29072
1552,14760
1553,20492
1554,25120
1555,12749
1556,35970
1557,18175
1558,23106
1559,16011
1560,11849
1561,17061
1562,9971
1563,13997
1564,26079
1565,37002
1566,34080
1567,27280
1568,6501
1569,33278
1570,32888
1571,20851
1572,14284
1573,23332
1574,33714
1575,13868
1576,38077
1577,8706
1578,11051
1579,10034
1580,9404
1581,9916
1582,10048
1583,15336
1584,44767
1585,11277
1586,7195
1587,27240
1588,7451
1589,36009
1590,10746
1591,32845
1592,14751
1593,9909
1594,34881
1595,35407
1596,38222
1597,15893
1598,32820
1599,14033
