,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
202,u9D8eHolaN0,Samsung Galaxy Note 20 Ultra vs iPhone 11 Pro Max,49,11PRO MAX,9,0.0
203,Ld5GDwycs_s,Samsung Galaxy S21 Ultra ASMR Unboxing 😯 | #shorts,50,UNPEKING,8,0.0
204,JZP54ioTBTU,Surprise Box from BLACKBERRY,28,? 2 BlackBerry,14,0.206
205,5mdwWF8F_Xs,Samsung Galaxy S22 Ultra UNBOXING - Truly NOTEworthy!,53,nan,0,0.1735
206,kVqJQdLBdF8,BlackBerry Motion UNBOXING,26,UPERSAF 15:55,13,0.0
207,R73EvY5otqQ,Samsung Galaxy S8 vs Galaxy S7 Camera Test Comparison,53,SAMSUNG SAMSUNG Galaxy S7 Galaxy S8+ /edge VS CAMERA TEST,57,0.0
208,6tsFChsTj1A,"LG GX 4K OLED TV 65"" - The BEST Xbox/PS5 Gaming TV",50,LG GX OLED,10,0.0
209,Vyru8aZpwWw,OnePlus 5T UNBOXING,19,nan,0,0.1065
210,oURhS4du4NA,The Secret Behind 2022 Flagship Smartphones!,44,nan,0,0.0
211,J7tR0uR4T08,Sony Xperia Z5 Gold Unboxing,28,SONY XPERIAZS SEPCISATT Gold Unboxing,37,0.1265
212,iiXQ9Z8uq3o,108 SMARTPHONE GIVEAWAY!,24,worthover ja WORTHOVER 108 SMARTPH SMARTPHONES,46,0.0
213,ApFFSa-DmjY,Oppo F1 Plus Unboxing,21,opo SUPERSAFTV FIPLE FIPL,25,0.2155
214,REkyWae-F40,ROG Phone 6 Pro Unboxing - The Ultimate Gaming Smartphone,57,nan,0,0.0
215,VwdQlNAO7XU,iPhone 6 Plus vs LG G3,22,G3 LG iPhone 6Plus 60,21,0.0
